"","AccSpeciesID","AccSpeciesName","nSLA","SLA","nLDMC","LDMC","nSWC","SWC","SWC_from_LDMC"
"1",1,"Aa sp",2,9.43396226417547,0,NA,0,NA,NA
"2",2,"Abarema adenophora",3,11.2252407407407,1,0.48,0,NA,1.08333333333333
"3",6,"Abarema jupunba",9,16.9608606402222,0,NA,0,NA,NA
"4",7,"Abarema laeta",3,20.9018418933333,0,NA,0,NA,NA
"5",8,"Abarema macradenia",5,8.23841926666599,2,0.4991983122,0,NA,1.00321190108383
"6",9,"Abarema mataybifolia",5,10.1959284680537,0,NA,0,NA,NA
"7",29,"Abies alba",146,7.08341936350428,82,0.434647972042253,0,NA,1.30071244851635
"8",30,"Abies amabilis",5,8.31,0,NA,0,NA,NA
"9",32,"Abies balsamea",57,11.5023261027821,11,0.5492,0,NA,0.820830298616169
"10",36,"Abies cephalonica",2,6.53092569285,2,0.364,0,NA,1.74725274725275
"11",39,"Abies concolor",75,4.60264848035575,58,0.452686206896552,0,NA,1.20903571782235
"12",46,"Abies firma",4,5.4615173923394,0,NA,0,NA,NA
"13",48,"Abies fraseri",17,5.51528766265083,0,NA,0,NA,NA
"14",50,"Abies grandis",9,9.90435551304444,2,0.3455,0,NA,1.89435600578871
"15",56,"Abies lasiocarpa",98,7.89160365567071,54,0.509088888888889,0,NA,0.964293509101226
"16",61,"Abies nephrolepis",5,8.51786,0,NA,0,NA,NA
"17",66,"Abies pinsapo",3,3.60842344903997,0,NA,0,NA,NA
"18",67,"Abies procera",3,8.20963200793333,2,0.4745,0,NA,1.10748155953635
"19",70,"Abies sachalinensis",5,7.1208404512,0,NA,0,NA,NA
"20",83,"Abronia villosa",2,14,0,NA,0,NA,NA
"21",86,"Abrus precatorius",2,18.2149362477231,1,0.46274038462,0,NA,1.16103896101741
"22",89,"Abuta grandifolia",3,12.0140993866667,0,NA,0,NA,NA
"23",93,"Abuta panamensis",4,15.4575859918959,0,NA,0,NA,NA
"24",94,"Abuta racemosa",13,14.6898880252832,10,0.46372616024,0,NA,1.15644508707995
"25",95,"Abuta rufescens",16,5.68750217985072,0,NA,0,NA,NA
"26",107,"Abutilon fraseri",6,10.775138052175,0,NA,0,NA,NA
"27",115,"Abutilon incanum",20,14.0646185663124,20,0.361032363917301,0,NA,1.76983478475371
"28",116,"Abutilon indicum",1,39.1,0,NA,0,NA,NA
"29",127,"Abutilon oxycarpum",20,18.69825,0,NA,0,NA,NA
"30",139,"Abutilon theophrasti",14,23.8064029329905,9,0.218395468007127,0,NA,3.57884959392731
"31",148,"Acacia acinacea",1,6.7412553446,0,NA,0,NA,NA
"32",151,"Acacia acuminata",1,5.0641790798,0,NA,0,NA,NA
"33",169,"Acacia aneura",16,10.1811332483667,6,0.336706034618148,0,NA,1.96994974008732
"34",174,"Acacia argyrophylla",1,4.4290769087,0,NA,0,NA,NA
"35",182,"Acacia aulacocarpa",2,7.62336357953447,2,0.385338585739731,0,NA,1.59512033574398
"36",185,"Acacia auriculiformis",9,9.60069282044604,0,NA,0,NA,NA
"37",188,"Acacia baileyana",1,8.648025406,0,NA,0,NA,NA
"38",189,"Acacia bakeri",24,10.9115,0,NA,0,NA,NA
"39",192,"Acacia beckleri",2,5.4229934924039,0,NA,0,NA,NA
"40",197,"Acacia binervata",2,7.9804229848364,0,NA,0,NA,NA
"41",208,"Acacia brachybotrya",4,5.51217879407308,0,NA,0,NA,NA
"42",209,"Acacia brachystachya",3,4.27666666666667,0,NA,0,NA,NA
"43",213,"Acacia brownii",1,3.99525,0,NA,0,NA,NA
"44",217,"Acacia burkei",7,14.6710151714286,0,NA,0,NA,NA
"45",219,"Acacia buxifolia",23,6.17965217391304,0,NA,0,NA,NA
"46",225,"Acacia cambagei",4,5.74840823342668,0,NA,0,NA,NA
"47",232,"Acacia celsa",1,6.89655172413793,0,NA,0,NA,NA
"48",246,"Acacia cognata",1,23.6,0,NA,0,NA,NA
"49",247,"Acacia colei",1,15.3808972280908,0,NA,0,NA,NA
"50",248,"Acacia colletioides",2,4.33268440705321,0,NA,0,NA,NA
"51",251,"Acacia complanata",23,5.7925652173913,0,NA,0,NA,NA
"52",252,"Acacia concurrens",22,7.35422727272727,0,NA,0,NA,NA
"53",253,"Acacia conferta",2,5.34891304348913,0,NA,0,NA,NA
"54",254,"Acacia confusa",2,7.91139240508164,0,NA,0,NA,NA
"55",260,"Acacia coriacea",2,12.4860782128696,0,NA,0,NA,NA
"56",267,"Acacia crassicarpa",1,12.6742712294043,0,NA,0,NA,NA
"57",274,"Acacia cyclops",32,4.08891531765313,0,NA,0,NA,NA
"58",279,"Acacia dealbata",15,9.81013702701416,5,0.486382978537535,0,NA,1.05599300166058
"59",280,"Acacia deanei",2,5.20605670101547,0,NA,0,NA,NA
"60",281,"Acacia decora",6,5.86858543813637,0,NA,0,NA,NA
"61",282,"Acacia decurrens",1,9.35950192314576,0,NA,0,NA,NA
"62",287,"Acacia difficilis",5,9.58972847653057,1,0.405411997342949,0,NA,1.46662655904106
"63",288,"Acacia difformis",1,5.4641008348,0,NA,0,NA,NA
"64",290,"Acacia dimidiata",4,5.64552356924093,0,NA,0,NA,NA
"65",294,"Acacia doratoxylon",19,4.27969263405692,1,0.46061722708,0,NA,1.17100000002023
"66",302,"Acacia elata",1,22.5,0,NA,0,NA,NA
"67",310,"Acacia estrophiolata",6,4.65965798882995,0,NA,0,NA,NA
"68",313,"Acacia excelsa",2,4.27,0,NA,0,NA,NA
"69",316,"Acacia falcata",3,7.74158516570781,0,NA,0,NA,NA
"70",317,"Acacia falciformis",23,6.8052350480087,0,NA,0,NA,NA
"71",324,"Acacia fimbriata",23,9.65330434782609,0,NA,0,NA,NA
"72",325,"Acacia flavescens",3,7.32276047321912,0,NA,0,NA,NA
"73",329,"Acacia floribunda",10,8.10199116725483,0,NA,0,NA,NA
"74",335,"Acacia genistifolia",2,4.52024162165302,0,NA,0,NA,NA
"75",345,"Acacia glaucocarpa",22,8.68109090909091,0,NA,0,NA,NA
"76",349,"Acacia gonocarpa",1,4.33935809826743,1,0.440909090909091,0,NA,1.2680412371134
"77",360,"Acacia hakeoides",2,3.4986267417,0,NA,0,NA,NA
"78",364,"Acacia havilandiorum",3,3.80670386836669,1,0.47258979206,0,NA,1.1160000000022
"79",367,"Acacia hemignosta",1,4.50583850873644,0,NA,0,NA,NA
"80",368,"Acacia hemiteles",1,7.06695052251265,0,NA,0,NA,NA
"81",369,"Acacia hemsleyi",1,6.15099445440118,0,NA,0,NA,NA
"82",373,"Acacia hispidula",5,12.1136,0,NA,0,NA,NA
"83",375,"Acacia holosericea",4,5.13893011028331,0,NA,0,NA,NA
"84",376,"Acacia homalophylla",1,3.36,0,NA,0,NA,NA
"85",381,"Acacia implexa",3,9.73214990136667,0,NA,0,NA,NA
