"","db","query","family"
"1","itis","Abies balsamea","Pinaceae"
"2","itis","Abies grandis","Pinaceae"
"3","itis","Acer rubrum","Sapindaceae"
"4","itis","Achyrocline satureioides",NA
"5","itis","Aegiphila integrifolia","Lamiaceae"
"6","itis","Aglaia abbreviata",NA
"7","itis","Aglaia perviridis",NA
"8","itis","Albizia niopoides",NA
"9","itis","Allophylus racemosus","Sapindaceae"
"10","itis","Alnus nepalensis","Betulaceae"
"11","itis","Amphilophium crucigerum",NA
"12","itis","Amyris elemifera","Rutaceae"
"13","itis","Anemia caffrorum",NA
"14","itis","Anemopaegma orbiculatum",NA
"15","itis","Annona reticulata","Annonaceae"
"16","itis","Anthurium scandens","Araceae"
"17","itis","Antidesma montanum",NA
"18","itis","Arbutus unedo","Ericaceae"
"19","itis","Artemisia frigida","Asteraceae"
"20","itis","Astragalus drummondii","Fabaceae"
"21","itis","Astragalus laxmannii","Fabaceae"
"22","itis","Astragalus shortianus","Fabaceae"
"23","itis","Astronium graveolens",NA
"24","itis","Athyrium filix-femina","Athyriaceae"
"25","itis","Avena sativa","Poaceae"
"26","itis","Baccaurea ramiflora","Phyllanthaceae"
"27","itis","Baccharis uncinella",NA
"28","itis","Banisteriopsis muricata",NA
"29","itis","Barbacenia purpurea",NA
"30","itis","Barringtonia pendula",NA
"31","itis","Bauhinia ungulata","Fabaceae"
"32","itis","Beilschmiedia robusta",NA
"33","itis","Betula papyrifera","Betulaceae"
"34","itis","Betula pubescens","Betulaceae"
"35","itis","Bignonia aequinoctialis",NA
"36","itis","Bignonia diversifolia",NA
"37","itis","Bourreria pulchra",NA
"38","itis","Bourreria succulenta","Ehretiaceae"
"39","itis","Bouteloua gracilis","Poaceae"
"40","itis","Bursera simaruba","Burseraceae"
"41","itis","Byrsonima crassifolia","Malpighiaceae"
"42","itis","Caesalpinia gaumeri",NA
"43","itis","Callichlamys latifolia",NA
"44","itis","Calycophylum candidissimum",NA
"45","itis","Capsicum chinense cv. Habanero",NA
"46","itis","Carex duriuscula","Cyperaceae"
"47","itis","Carpinus viminea",NA
"48","itis","Casearia corymbosa",NA
"49","itis","Casearia sylvestris","Salicaceae"
"50","itis","Cavendishia capitulata",NA
"51","itis","Cavendishia complectens",NA
"52","itis","Cavendishia limonensis",NA
"53","itis","Cavendishia melastomoides",NA
"54","itis","Cavendishia quercina",NA
"55","itis","Cecropia pachystachya","Urticaceae"
"56","itis","Cedrela fissilis","Meliaceae"
"57","itis","Cedrela odorata","Meliaceae"
"58","itis","Ceiba speciosa","Malvaceae"
"59","itis","Celtis australis","Cannabaceae"
"60","itis","Celtis occidentalis","Cannabaceae"
"61","itis","Centella asiatica","Apiaceae"
"62","itis","Ceratonia siliqua","Fabaceae"
"63","itis","Chionolaena capitata",NA
"64","itis","Chisocheton siamensis",NA
"65","itis","Chlorophytum comosum","Asparagaceae"
"66","itis","Chomelia spinosa",NA
"67","itis","Chusquea pinifolia","Poaceae"
"68","itis","Cinnamomum bejolghota",NA
"69","itis","Citrus x sinensis","Rutaceae"
"70","itis","Cleidion brevipetiolatum",NA
"71","itis","Clusia stenophylla",NA
"72","itis","Coccoloba diversifolia","Polygonaceae"
"73","itis","Coccoloba microstachya","Polygonaceae"
"74","itis","Cochlospermum vitifolium","Cochlospermaceae"
"75","itis","Cochospermum vitifolium",NA
"76","itis","Coffea arabica","Rubiaceae"
"77","itis","Columnea glabra","Gesneriaceae"
"78","itis","Columnea insignis",NA
"79","itis","Columnea lepidocaulis",NA
"80","itis","Columnea magnifica","Gesneriaceae"
"81","itis","Combretum farinosum",NA
"82","itis","Cordia alliodora","Cordiaceae"
"83","itis","Cordia collococca","Cordiaceae"
"84","itis","Cordia cymosa",NA
"85","itis","Cordia dentata","Cordiaceae"
"86","itis","Cordia lasiocalyx",NA
"87","itis","Cordia panamensis","Cordiaceae"
"88","itis","Cornus florida","Cornaceae"
"89","itis","Cortaderia modesta","Poaceae"
"90","itis","Cosmibuena valerii",NA
"91","itis","Craterostigma plantagineum","Linderniaceae"
"92","itis","Crescentia cujete","Bignoniaceae"
"93","itis","Crossopetalum rhacoma","Celastraceae"
"94","itis","Cupania guatemalensis",NA
"95","itis","Curatella americana",NA
"96","itis","Cylindrokelupha yunnanensis",NA
"97","itis","Dalberigia retusa",NA
"98","itis","Davallia canariensis","Davalliaceae"
"99","itis","Davilla kunthii",NA
"100","itis","Dichapetalum gelonioides",NA
"101","itis","Diospyros nigrocortex",NA
"102","itis","Dipteryx oleifera","Fabaceae"
"103","itis","Disterigma humboldtii",NA
"104","itis","Doliocarpus major","Dilleniaceae"
"105","itis","Drypetes hoaensis",NA
"106","itis","Elaeocarpus glabripetalus var. alatus",NA
"107","itis","Elaphoglossum lingua","Dryopteridaceae"
"108","itis","Enterolobium cyclocarpum","Fabaceae"
"109","itis","Erigeron pumilus","Asteraceae"
"110","itis","Eriogonum effusum","Polygonaceae"
"111","itis","Erithalis fruticosa","Rubiaceae"
"112","itis","Eryngium glaziovianum",NA
"113","itis","Erythrophleum chlorostachys",NA
"114","itis","Eucalyptus camaldulensis","Myrtaceae"
"115","itis","Eucalyptus dunnii","Myrtaceae"
"116","itis","Eucalyptus grandis","Myrtaceae"
"117","itis","Eucalyptus miniata",NA
"118","itis","Eucalyptus pellita","Myrtaceae"
"119","itis","Eucalyptus pilularis","Myrtaceae"
"120","itis","Eucalyptus rubida","Myrtaceae"
"121","itis","Eucalyptus tereticornes",NA
"122","itis","Eucalyptus tetrodonta",NA
"123","itis","Eucalyptus urophylla",NA
"124","itis","Eucalyptus urophylla x Eucalyptus camaldulensis",NA
"125","itis","Eucalyptus urophylla x Eucalyptus grandis",NA
"126","itis","Eugenia foetida","Myrtaceae"
"127","itis","Eugenia procera","Myrtaceae"
"128","itis","Eugenia salamensis",NA
"129","itis","Eugenia uniflora","Myrtaceae"
"130","itis","Eugenia xerophytica",NA
"131","itis","Eurya austroyunnanensis",NA
"132","itis","Exostema caribbeaum",NA
"133","itis","Festuca arundinacea",NA
"134","itis","Ficus fistulosa",NA
"135","itis","Ficus langkokensis",NA
"136","itis","Ficus nitida",NA
"137","itis","Ficus rubiginosa","Moraceae"
"138","itis","Flaveria robusta",NA
"139","itis","Forsteronia spicata",NA
"140","itis","Fraxinus pennsylvanica","Oleaceae"
"141","itis","Gallesia integrifolia",NA
"142","itis","Gamochaeta purpurea","Asteraceae"
